slug,timestamp,open,high,low,close,volume,quote_volume
btc-updown-15m-1767665700,1767666560,93737.98,93737.99,93737.98,93737.99,0.00024,22.4971166
btc-updown-15m-1767665700,1767666561,93737.99,93737.99,93737.99,93737.99,0.0,0.0
btc-updown-15m-1767665700,1767666562,93737.98,93737.99,93737.98,93737.98,0.00173,162.1667124
btc-updown-15m-1767665700,1767666563,93737.98,93737.98,93737.98,93737.98,0.04282,4013.8603036
btc-updown-15m-1767665700,1767666564,93737.99,93737.99,93737.99,93737.99,0.00158,148.1060242
btc-updown-15m-1767665700,1767666565,93737.99,93737.99,93737.99,93737.99,9e-05,8.4364191
btc-updown-15m-1767665700,1767666566,93737.99,93737.99,93737.98,93737.98,0.00017,15.9354576
btc-updown-15m-1767665700,1767666567,93737.98,93737.99,93737.98,93737.99,0.01372,1286.0850978
btc-updown-15m-1767665700,1767666568,93737.99,93737.99,93737.99,93737.99,0.0,0.0
btc-updown-15m-1767665700,1767666569,93737.99,93737.99,93737.99,93737.99,0.00772,723.6572828
btc-updown-15m-1767665700,1767666570,93737.99,93737.99,93737.98,93737.98,0.00617,578.3633472
btc-updown-15m-1767665700,1767666571,93737.98,93737.99,93737.98,93737.99,0.00473,443.3806627
btc-updown-15m-1767665700,1767666572,93737.99,93737.99,93737.98,93737.98,0.00967,906.4463353
btc-updown-15m-1767665700,1767666573,93737.98,93737.99,93737.98,93737.99,0.02038,1910.3802309
btc-updown-15m-1767665700,1767666574,93737.98,93737.98,93737.98,93737.98,0.001,93.73798
btc-updown-15m-1767665700,1767666575,93737.99,93737.99,93737.98,93737.98,0.00401,375.8893339
btc-updown-15m-1767665700,1767666576,93737.98,93737.98,93737.98,93737.98,0.04568,4281.9509264
btc-updown-15m-1767665700,1767666577,93737.98,93737.98,93737.98,93737.98,0.00202,189.3507196
btc-updown-15m-1767665700,1767666578,93737.99,93737.99,93737.99,93737.99,7e-05,6.5616593
btc-updown-15m-1767665700,1767666579,93737.99,93737.99,93737.98,93737.99,0.02211,2072.5467479
btc-updown-15m-1767665700,1767666580,93737.98,93737.98,93737.98,93737.98,0.00054,50.6185092
btc-updown-15m-1767665700,1767666581,93737.98,93737.98,93727.49,93727.49,0.25003,23436.3523433
btc-updown-15m-1767665700,1767666582,93727.49,93727.49,93724.0,93724.0,0.076,7123.2262759
btc-updown-15m-1767665700,1767666583,93724.0,93724.0,93723.99,93723.99,0.10498,9839.1454738
btc-updown-15m-1767665700,1767666584,93724.0,93724.0,93723.99,93724.0,0.00654,612.9549061
btc-updown-15m-1767665700,1767666585,93723.99,93723.99,93716.99,93716.99,0.11283,10574.2149097
btc-updown-15m-1767665700,1767666586,93716.99,93716.99,93716.99,93716.99,0.00194,181.8109606
btc-updown-15m-1767665700,1767666587,93716.99,93716.99,93709.86,93709.86,0.35115,32908.0370364
btc-updown-15m-1767665700,1767666588,93709.86,93709.86,93707.99,93707.99,0.01534,1437.4845795
btc-updown-15m-1767665700,1767666589,93707.99,93707.99,93705.18,93705.18,0.03006,2816.8209995
btc-updown-15m-1767665700,1767666590,93705.18,93705.18,93705.18,93705.18,0.00422,395.4358596
btc-updown-15m-1767665700,1767666591,93705.18,93705.18,93705.18,93705.18,0.00667,625.0135506
btc-updown-15m-1767665700,1767666592,93705.19,93705.19,93705.18,93705.19,0.0466,4366.6614105
btc-updown-15m-1767665700,1767666593,93705.18,93705.19,93705.18,93705.18,0.36116,33842.5629422
btc-updown-15m-1767665700,1767666594,93705.18,93705.19,93705.18,93705.18,0.12337,11560.4080637
btc-updown-15m-1767665700,1767666595,93705.18,93705.19,93699.07,93699.08,0.41633,39009.9022486
btc-updown-15m-1767665700,1767666596,93699.07,93699.08,93699.07,93699.08,0.00233,218.3188377
btc-updown-15m-1767665700,1767666597,93699.07,93699.08,93699.07,93699.07,0.11092,10393.1008466
btc-updown-15m-1767665700,1767666598,93699.07,93699.08,93699.07,93699.08,0.08442,7910.0762909
btc-updown-15m-1767665700,1767666599,93699.07,93699.07,93699.07,93699.07,0.18152,17008.2551864
btc-updown-15m-1767665700,1767666600,93699.08,93699.08,93699.07,93699.08,0.0078,730.852749
btc-updown-15m-1767665700,1767666601,93699.08,93699.08,93699.08,93699.08,7e-05,6.5589356
btc-updown-15m-1767665700,1767666602,93699.08,93699.08,93699.07,93699.07,0.02219,2079.1823686
btc-updown-15m-1767665700,1767666603,93699.08,93699.08,93699.07,93699.08,0.01035,969.7854337
btc-updown-15m-1767665700,1767666604,93699.07,93699.08,93699.07,93699.08,0.00122,114.3128766
